"ID,C,15","CAMPANA,C,25","PRODUCTO,C,25"
03byftwqjL-1,2006-2007,soja
09vHdvoNhg-1,2010-2011,soja
0CSNcdyQce-1,2010-2011,soja
0CfgXxjYc4-1,2006-2007,soja
0J4hLXN9w1-1,2006-2007,soja
0J4hLXN9w1-2,2006-2007,soja
0PuNpfDQWF-1,2006-2007,trigo
0QELpjOS2q-1,2012-2013,soja
0To3KBQwpl-1,2007-2008,soja
0To3KBQwpl-2,2007-2008,soja
0To3KBQwpl-3,2007-2008,soja
0To3KBQwpl-4,2007-2008,soja
0To3KBQwpl-5,2007-2008,soja
0aURHfMU49-1,2005-2006,trigo
0bFEZ6vfPw-1,2006-2007,maiz
0bcKSX5ona-1,2010-2011,soja
0hTNYVS08W-1,2009-2010,soja
0mudDLs3xA-1,2010-2011,soja
0pO1R5fhZK-1,2007-2008,soja
0pO1R5fhZK-2,2007-2008,soja
0pO1R5fhZK-3,2007-2008,soja
0ukEuo3s2B-1,2009-2010,soja
0vjfUJRaQz-1,2007-2008,soja
0xSkfEkTRp-1,2010-2011,soja
11M3iFyFzc-1,2006-2007,soja
12aDKbayQQ-1,2007-2008,maiz
18IvsToN0X-1,2009-2010,soja
1AUFlp1AME-1,2006-2007,maiz
1AUFlp1AME-2,2006-2007,maiz
1Ahs2G5tey-1,2006-2007,soja
1BkXyG1NKK-1,2007-2008,soja
1DF3RHxvWA-1,2009-2010,soja
1ET4My0B68-1,2007-2008,soja
1ET4My0B68-2,2007-2008,soja
1J4hawKEDt-1,2012-2013,soja
1JgaiyBRS2-1,2006-2007,soja
1LkQ81DaLW-1,2007-2008,soja
1LkQ81DaLW-2,2007-2008,soja
1M3RvmhsaY-1,2008-2009,soja
1PoP5AuHTu-1,2007-2008,soja
1TpRDzZC9w-1,2006-2007,trigo
1VmuWytjCs-1,2006-2007,soja
1WOJNkyOUb-1,2009-2010,maiz
1YElis7INX-1,2007-2008,soja
1etwsm7kNt-1,2010-2011,maiz
1frBUsyacC-1,2007-2008,trigo
1iEPoZX9rM-1,2011-2012,trigo
1ibVUFkqHL-1,2011-2012,girasol
1knH6dFSVO-1,2006-2007,maiz
1oOj366MhQ-1,2006-2007,maiz
1tw3k2gSBU-1,2008-2009,trigo
1yDnC43qNU-1,2006-2007,cebada
1yDnC43qNU-2,2006-2007,cebada
20mwgkLGZ0-1,2009-2010,cebada
22qYuoD63t-1,2007-2008,soja
26VVmjY1j1-1,2007-2008,maiz
26VVmjY1j1-2,2007-2008,maiz
26noRZEH6o-1,2010-2011,soja
28JpukMFWv-1,2007-2008,soja
299CUJbbog-1,2006-2007,soja
2DqKDRO23d-1,2007-2008,maiz
2HvuEOMtuM-1,2006-2007,soja
2KvWe704ZD-1,2008-2009,cebada
2LgN2zdap7-1,2007-2008,soja
2P1iK7syeC-1,2009-2010,soja
2WyaWmSPC2-1,2007-2008,soja
2a233xPeRY-1,2006-2007,trigo
2ar49wkkJ8-1,2006-2007,soja
2bxluZAK7S-1,2007-2008,cebada
2ctvBFbR4x-1,2011-2012,girasol
2erNbT2JEN-1,2006-2007,trigo
2erNbT2JEN-2,2006-2007,trigo
2fZO9zfW15-1,2009-2010,maiz
2foF6uMN3C-1,2007-2008,soja
2ht4ijVCYs-1,2006-2007,soja
2jU2wBEDbp-1,2009-2010,trigo
2kucMDldOd-1,2006-2007,soja
2xRfl8apQf-1,2006-2007,maiz
2xyRA442gN-1,2010-2011,soja
2xyRA442gN-2,2010-2011,soja
2y1ageGUeu-1,2006-2007,cebada
31oXHnp6Xn-1,2007-2008,soja
34IBFcP2va-1,2011-2012,cebada
35dpEkxpu3-1,2008-2009,soja
36nVuzasB9-1,2007-2008,soja
3AMp3LubfU-1,2009-2010,soja
3Grwc5uTlO-1,2008-2009,soja
3GwWcSnMwj-1,2007-2008,soja
3I3uhDlQqF-1,2006-2007,soja
3I3uhDlQqF-2,2006-2007,soja
3I3uhDlQqF-3,2006-2007,soja
3Kjd31lTmn-1,2006-2007,soja
3PG8cmDLMJ-1,2007-2008,cebada
3PG8cmDLMJ-2,2007-2008,cebada
3PjJsQWA9G-1,2006-2007,soja
3WQZjGwmqT-1,2006-2007,trigo
3WRaiX8JES-1,2006-2007,soja
3ZL9ax8JQQ-1,2007-2008,maiz
3bo1R41JYR-1,2010-2011,soja
3ce6NULaPc-1,2008-2009,cebada
3hA8bmoDfb-1,2007-2008,soja
3hA8bmoDfb-2,2007-2008,soja
3hA8bmoDfb-3,2007-2008,soja
3hA8bmoDfb-4,2007-2008,soja
3hA8bmoDfb-5,2007-2008,soja
3hA8bmoDfb-6,2007-2008,soja
3hA8bmoDfb-7,2007-2008,soja
3hA8bmoDfb-8,2007-2008,soja
3jiEUphzXU-1,2007-2008,soja
3mW3SshtEZ-1,2006-2007,soja
3mW3SshtEZ-2,2006-2007,soja
3rNftTI6jN-1,2010-2011,soja
3rUYYf79vu-1,2007-2008,soja
3syLUspKWV-1,2008-2009,girasol
3yeiS9LLda-1,2007-2008,maiz
41GqJ9mahF-1,2007-2008,maiz
45MIjrWCcv-1,2007-2008,soja
48CoCrWh4T-1,2010-2011,soja
48CoCrWh4T-2,2010-2011,soja
4Ibwugg4I3-1,2007-2008,soja
4P4XXnyVlg-1,2010-2011,soja
4QLBvLuAfR-1,2006-2007,soja
4VGAdHiPxI-1,2007-2008,soja
4XW65fqOR5-1,2007-2008,soja
4Xi95fWDZg-1,2007-2008,cebada
4ZpfUfcsRz-1,2009-2010,soja
4aJILQxvrc-1,2006-2007,soja
4evAfAiWWO-1,2006-2007,soja
4n4J6XYmDx-1,2007-2008,maiz
4qC5iHzuhF-1,2006-2007,cebada
4tlf51DDZb-1,2008-2009,soja
4ulWN6cp5s-1,2012-2013,soja
55TvsUjDR3-1,2007-2008,cebada
56ZenYY7r6-1,2006-2007,soja
5GT9kQwxhO-1,2008-2009,cebada
5GuRE0N0t2-1,2010-2011,soja
5GuRE0N0t2-2,2010-2011,soja
5OwslilwcV-1,2006-2007,cebada
5P1Isf9NQn-1,2007-2008,soja
5RMiCdY7ty-1,2007-2008,soja
5S53DXr8Um-1,2007-2008,soja
5Xpj7paOMh-1,2005-2006,trigo
5YjxyoFC75-1,2008-2009,trigo
5Yxc8DbPiG-1,2007-2008,soja
5dmQoiljsR-1,2006-2007,soja
5feZ1qHW7h-1,2010-2011,soja
5gAmqJraQV-1,2006-2007,soja
5gAmqJraQV-2,2006-2007,soja
5gAmqJraQV-3,2006-2007,soja
5gAmqJraQV-4,2006-2007,soja
5gmHGFlJFw-1,2007-2008,soja
5gupvAkHuX-1,2006-2007,soja
5gupvAkHuX-2,2006-2007,soja
5ka0HUqTPs-1,2011-2012,girasol
5mxI1DlJo0-1,2010-2011,soja
5qVIwBuOdZ-1,2012-2013,soja
5qcWMZqtXx-1,2006-2007,soja
5reiWmOBZe-1,2006-2007,soja
5uxHBltP98-1,2006-2007,maiz
5xUpey86ZY-1,2006-2007,soja
5xqwqBU6Sc-1,2007-2008,soja
61Vp4nBvBG-1,2007-2008,soja
61hx6wuUsP-1,2007-2008,trigo
63wLE9F7IL-1,2006-2007,maiz
63wWeOGL0a-1,2010-2011,soja
67tZSLWZfv-1,2007-2008,soja
6BOSkhjYt8-1,2006-2007,soja
6EGaTRSCfk-1,2009-2010,soja
6KhjOvyT7o-1,2006-2007,soja
6KhjOvyT7o-2,2006-2007,soja
6KhjOvyT7o-3,2006-2007,soja
6O7ljJMuQ3-1,2006-2007,soja
6QQp7w1fwe-1,2007-2008,soja
6UhcEtq5v9-1,2009-2010,maiz
6YcJ2rYkh5-1,2007-2008,soja
6aGqnYhTFN-1,2006-2007,soja
6d4CRLLXVY-1,2012-2013,maiz
6g4Etvu1wt-1,2006-2007,cebada
6g4Etvu1wt-2,2006-2007,cebada
6laxXt9JCF-1,2007-2008,soja
6ljVCFoU51-1,2009-2010,colza
6ljVCFoU51-10,2009-2010,colza
6ljVCFoU51-11,2009-2010,colza
6ljVCFoU51-12,2009-2010,colza
6ljVCFoU51-13,2009-2010,colza
6ljVCFoU51-14,2009-2010,colza
6ljVCFoU51-15,2009-2010,colza
6ljVCFoU51-16,2009-2010,colza
6ljVCFoU51-17,2009-2010,colza
6ljVCFoU51-18,2009-2010,colza
6ljVCFoU51-19,2009-2010,colza
6ljVCFoU51-2,2009-2010,colza
6ljVCFoU51-20,2009-2010,colza
6ljVCFoU51-21,2009-2010,colza
6ljVCFoU51-22,2009-2010,colza
6ljVCFoU51-23,2009-2010,colza
6ljVCFoU51-24,2009-2010,colza
6ljVCFoU51-25,2009-2010,colza
6ljVCFoU51-26,2009-2010,colza
6ljVCFoU51-3,2009-2010,colza
6ljVCFoU51-4,2009-2010,colza
6ljVCFoU51-5,2009-2010,colza
6ljVCFoU51-6,2009-2010,colza
6ljVCFoU51-7,2009-2010,colza
6ljVCFoU51-8,2009-2010,colza
6ljVCFoU51-9,2009-2010,colza
6pD564mQGv-1,2009-2010,soja
70CJx5wzdH-1,2006-2007,soja
741ExOzcTa-1,2009-2010,soja
74PJ1NuChl-1,2006-2007,cebada
74UZR7DQXp-1,2012-2013,soja
78U2Ywp8M8-1,2012-2013,soja
78U2Ywp8M8-2,2012-2013,soja
7BJyDtFL7L-1,2010-2011,soja
7G6fFlOJXR-1,2007-2008,maiz
7I2P9ZSmuk-1,2007-2008,soja
7M7iPonFCr-1,2007-2008,soja
7SXXgJSfjC-1,2008-2009,girasol
7SxecklFy3-1,2009-2010,maiz
7XTDDizb2X-1,2007-2008,trigo
7a3qMMcdLH-1,2009-2010,soja
7a3qMMcdLH-2,2009-2010,soja
7dDX4ltKRF-1,2009-2010,soja
7dMOpE23yg-1,2006-2007,trigo
7fwqxvQPWx-1,2007-2008,soja
7kecFTiHDW-1,2009-2010,soja
7rO3cS5Ch3-1,2007-2008,soja
7rri6a6kjC-1,2006-2007,trigo
82HI9q91OY-1,2006-2007,soja
845Y4ga4cV-1,2005-2006,trigo
892kSUIXJ6-1,2010-2011,girasol
8Bg3TfnPdl-1,2009-2010,soja
8CPedUjAYh-1,2009-2010,trigo
8HAIr21m9G-1,2007-2008,soja
8NeIBgyKT2-1,2006-2007,soja
8NpzI1hMo2-1,2006-2007,maiz
8WHbSA6CNX-1,2009-2010,soja
8ZIrDLsyof-1,2006-2007,soja
8ZhvabeKuO-1,2007-2008,soja
8ZhvabeKuO-2,2007-2008,soja
8aYwan5kr5-1,2010-2011,soja
8dZlETO87k-1,2006-2007,soja
8h6bm0FqST-1,2006-2007,trigo
8kHCUvjBw9-1,2007-2008,soja
8nSNpteopC-1,2007-2008,soja
8qEcKlOXDp-1,2010-2011,soja
8qvQSnYOHk-1,2011-2012,cebada
8tIvJ5AauW-1,2009-2010,cebada
93tAcnW4Ru-1,2007-2008,soja
95VR1QwoEp-1,2007-2008,maiz
95q2MwSxAK-1,2009-2010,soja
95xvlOV8Ub-1,2006-2007,maiz
97DnQiGgsC-1,2007-2008,soja
97DnQiGgsC-2,2007-2008,soja
98GQ8w3BIz-1,2012-2013,soja
99ANZoojSs-1,2006-2007,trigo
99NQkpaq2x-1,2006-2007,maiz
99nwn9Vham-1,2010-2011,soja
9AkXMeQi29-1,2007-2008,cebada
9HALgFeddQ-1,2006-2007,soja
9IMhCSPEjN-1,2010-2011,soja
9IMhCSPEjN-2,2010-2011,soja
9KhBA5i6d9-1,2008-2009,trigo
9OTvbDtaep-1,2010-2011,soja
9OTvbDtaep-2,2010-2011,soja
9OTvbDtaep-3,2010-2011,soja
9PDrpFwmIR-1,2007-2008,maiz
9US6bu1jiy-1,2007-2008,maiz
9X9w9SDnyY-1,2008-2009,trigo
9XM3b5m7HL-1,2010-2011,maiz
9Z6tEoIb3E-1,2008-2009,trigo
9Z6tEoIb3E-2,2008-2009,trigo
9Z6tEoIb3E-3,2008-2009,trigo
9Z6tEoIb3E-4,2008-2009,trigo
9ZD8NUoPaX-1,2010-2011,soja
9bLvxRxnFH-1,2009-2010,soja
9fXC6XZgKJ-1,2012-2013,soja
9kTyrZAC09-1,2006-2007,maiz
9lXL8Tfh1P-1,2006-2007,soja
9tlNwlfUPi-1,2006-2007,trigo
9vojMh4XUw-1,2008-2009,soja
9vojMh4XUw-2,2008-2009,soja
9wX8X4u0T8-1,2007-2008,soja
9yYbqFPw1q-1,2009-2010,maiz
A37COPJ8SU-1,2007-2008,soja
A37COPJ8SU-2,2007-2008,soja
A37COPJ8SU-3,2007-2008,soja
A37COPJ8SU-4,2007-2008,soja
A37COPJ8SU-5,2007-2008,soja
A37COPJ8SU-6,2007-2008,soja
A7mh3QiYZZ-1,2006-2007,soja
A8q4hIPDr5-1,2007-2008,maiz
AGGp73z9HJ-1,2006-2007,soja
AN6REXodtE-1,2007-2008,soja
ATpFRb6ms4-1,2006-2007,soja
AVnLaXcaSK-1,2007-2008,cebada
AYBvrgbBmB-1,2010-2011,girasol
Aa2Y6fbMNe-1,2006-2007,soja
AcETIG2up6-1,2007-2008,maiz
AdtBgswaOo-1,2008-2009,soja
AdtBgswaOo-2,2008-2009,soja
AimgRZM66l-1,2006-2007,cebada
AlsWU5B3C4-1,2006-2007,maiz
Ar9tzjCDGC-1,2008-2009,trigo
AxwJC3jQqX-1,2009-2010,soja
B74Ymx254m-1,2007-2008,soja
BE4OxEqxGI-1,2012-2013,soja
BE4OxEqxGI-2,2012-2013,soja
BIENqcsrf7-1,2010-2011,soja
BITwDY3w2z-1,2011-2012,girasol
BJMfLJqYWR-1,2006-2007,soja
BKNh3TiPy3-1,2007-2008,soja
BLiWOoHFsv-1,2007-2008,girasol
BMd6U71ptk-1,2009-2010,soja
BSP9jaucz4-1,2006-2007,trigo
BYTT4T0afn-1,2007-2008,maiz
BYjHls2mYo-1,2007-2008,soja
BhAP6CBRTa-1,2007-2008,soja
BhFLLLg3V3-1,2007-2008,soja
Bhw7Su9nyv-1,2006-2007,soja
BlyfKXLRfH-1,2006-2007,soja
Bq97ZqrXPF-1,2007-2008,trigo
BrLkeiwCrP-1,2008-2009,cebada
BrLkeiwCrP-2,2008-2009,cebada
BsZOxfRj6h-1,2010-2011,soja
BtbNpaMK7S-1,2009-2010,soja
BuFHBrXYG4-1,2010-2011,maiz
Bv8FKfRzMh-1,2007-2008,soja
BxKmfvavSr-1,2010-2011,maiz
BxdqaKPX5L-1,2007-2008,maiz
C21x8cAvBh-1,2010-2011,soja
C3p3YGx3M7-1,2007-2008,soja
C448Lh4A4k-1,2012-2013,soja
C5TgDZSn7D-1,2010-2011,soja
C6CXNV24Ep-1,2012-2013,soja
C6CXNV24Ep-2,2012-2013,soja
C9bn6WUnZm-1,2006-2007,soja
C9tN6WyVND-1,2006-2007,trigo
CCFej5FHTL-1,2009-2010,soja
CHZnqplAh0-1,2006-2007,soja
CHZnqplAh0-2,2006-2007,soja
CHZnqplAh0-3,2006-2007,soja
CHZnqplAh0-4,2006-2007,soja
CIteev8x4e-1,2010-2011,soja
CNKtzYmpej-1,2006-2007,soja
CNKtzYmpej-2,2006-2007,soja
CNKtzYmpej-3,2006-2007,soja
CPjcY7i5PP-1,2007-2008,trigo
Cb1auMQcOc-1,2010-2011,soja
Ccb3h5pN4E-1,2008-2009,trigo
CdRgCuDOmc-1,2006-2007,maiz
CfbEiNe968-1,2010-2011,soja
ClRgLsnZIL-1,2008-2009,cebada
CoFbcyKrEP-1,2007-2008,soja
CoO9sPRxI3-1,2009-2010,maiz
CsE6p7svrG-1,2006-2007,soja
CsPQYMGgLP-1,2011-2012,girasol
CsPQYMGgLP-2,2011-2012,girasol
CsPQYMGgLP-3,2011-2012,girasol
Cstb2dCwHB-1,2010-2011,soja
Cstb2dCwHB-2,2010-2011,soja
Cstb2dCwHB-3,2010-2011,soja
D2TLq4rrNB-1,2012-2013,soja
D4nenGj9Sf-1,2007-2008,soja
D5tMmXlgVq-1,2006-2007,soja
D8rc4n7qK8-1,2007-2008,soja
D9XHonRuY9-1,2007-2008,trigo
DCuAYEKTZR-1,2006-2007,trigo
DDDwBmgxJg-1,2006-2007,cebada
DFEQlpSGV5-1,2007-2008,soja
DFEQlpSGV5-2,2007-2008,soja
DK0besSld6-1,2005-2006,trigo
DKLnUQEkjg-1,2008-2009,girasol
DLP6qQERLu-1,2008-2009,soja
DLUrvNnQHp-1,2009-2010,maiz
DMxrqD3Mt3-1,2007-2008,soja
DNuqGgirWe-1,2007-2008,soja
DQMxmY8Df4-1,2008-2009,cebada
DQjIyZRaXi-1,2011-2012,girasol
DQvyQEPFCZ-1,2007-2008,soja
DSMxUsrGEi-1,2010-2011,soja
DSMxUsrGEi-2,2010-2011,soja
DT3QzNbmiu-1,2012-2013,soja
DYFqMKSKwI-1,2006-2007,maiz
DYFqMKSKwI-2,2006-2007,maiz
Da14eiM4vE-1,2006-2007,soja
DgTfHCCPVR-1,2005-2006,trigo
DnRgIVxX9F-1,2012-2013,soja
DnSqswxtmr-1,2010-2011,maiz
DrCCMKFfWA-1,2006-2007,soja
DrCCMKFfWA-2,2006-2007,soja
DtsrYBqPtn-1,2007-2008,soja
DvnaNTGr7B-1,2009-2010,maiz
DyJg2ZcZ4h-1,2006-2007,soja
Dzqq3Hs5fI-1,2010-2011,maiz
E0bMUb9YXN-1,2010-2011,soja
E3GSfDHjjm-1,2005-2006,trigo
E5QNjIxiZv-1,2006-2007,soja
E5abI9ICr6-1,2007-2008,maiz
E9ruBh4nKA-1,2007-2008,soja
EBUxl0Oqa8-1,2010-2011,soja
EFcwGu26HB-1,2006-2007,trigo
EGw1BT05ED-1,2007-2008,cebada
ELnuvVt7wM-1,2006-2007,maiz
EOXVf6u0VX-1,2006-2007,maiz
EOhiGd544M-1,2008-2009,soja
EXRYdw7B3i-1,2007-2008,soja
EYMrBpNDp3-1,2006-2007,cebada
EZeIHOg5Xi-1,2006-2007,maiz
Eg1ZkLEjqN-1,2006-2007,soja
Egb7SBB1iU-1,2009-2010,soja
Ehvk52ZFxU-1,2007-2008,girasol
EkgDVTPw9P-1,2008-2009,trigo
EpVgBYaGnM-1,2006-2007,soja
EpnKsTRvsf-1,2007-2008,maiz
EwxY96VY82-1,2007-2008,soja
Ey1dSq86bf-1,2009-2010,soja
F4r2aG8D6D-1,2007-2008,soja
F9ALAO7U5Z-1,2006-2007,cebada
FAJGL2dJVk-1,2006-2007,soja
FDQuQiwLRr-1,2006-2007,soja
FDfO0a8jp6-1,2006-2007,soja
FENYcw2fyb-1,2006-2007,trigo
FLf3ITCnBm-1,2007-2008,soja
FM4JcQg2Zf-1,2007-2008,trigo
FMDzGtb6Qm-1,2007-2008,trigo
FMRRkhphPH-1,2006-2007,soja
FPchkwnIIx-1,2009-2010,soja
FPt1p123cM-1,2006-2007,soja
FTDWb2Uec3-1,2006-2007,soja
FZneLYtRH7-1,2007-2008,soja
FiLFuQCw3P-1,2007-2008,soja
FkblaFyljT-1,2007-2008,maiz
Fny6yTyx3b-1,2010-2011,maiz
FpNZJHnCO4-1,2007-2008,girasol
FpNZJHnCO4-2,2007-2008,girasol
FpNZJHnCO4-3,2007-2008,girasol
FplGaiYzIs-1,2007-2008,soja
Fu9hQUFdDW-1,2012-2013,soja
Fu9hQUFdDW-2,2012-2013,soja
Fu9hQUFdDW-3,2012-2013,soja
FueB6JLops-1,2007-2008,soja
FwdatctcMK-1,2006-2007,soja
FygXH3xGyq-1,2009-2010,trigo
G1iriw2WtG-1,2006-2007,trigo
G6IATcQKcP-1,2007-2008,soja
G7fahqn5VK-1,2008-2009,cebada
G8WRkCLnqU-1,2007-2008,soja
GBkhcVPSDo-1,2006-2007,trigo
GCBSOXlcDI-1,2007-2008,soja
GDiQ25w3Uh-1,2009-2010,girasol
GEd4DF4Bp3-1,2010-2011,soja
GFYu4387qo-1,2009-2010,soja
GHoqHHbAbP-1,2006-2007,maiz
GMhyCo44ii-1,2009-2010,soja
GMhyCo44ii-2,2009-2010,soja
GNzDgCGQc7-1,2009-2010,soja
GaUhJUu4Ef-1,2010-2011,soja
GctXVoZNjQ-1,2006-2007,maiz
GfzlmI8WTL-1,2008-2009,soja
Gjj49RbC4r-1,2006-2007,soja
GnY8kJIXA2-1,2006-2007,soja
GnjlMjbHQV-1,2007-2008,soja
GuSoKorIqx-1,2010-2011,soja
H3FeWm2jXc-1,2006-2007,soja
H3FeWm2jXc-2,2006-2007,soja
H3FeWm2jXc-3,2006-2007,soja
H5xmJ7Dxwx-1,2007-2008,maiz
H9ck2o3TZU-1,2008-2009,cebada
HCHdw9D7Ng-1,2010-2011,soja
HE7oaX1JIJ-1,2009-2010,soja
HED8tWoOXm-1,2007-2008,soja
HFQXWaP59g-1,2007-2008,soja
HYpnLiRtUx-1,2006-2007,soja
HcWGiVjhTm-1,2010-2011,girasol
HfblgxuHVg-1,2010-2011,soja
Hfj2kwDmsP-1,2007-2008,soja
Hjxz2GbHX7-1,2007-2008,cebada
HkW6qoRjVx-1,2007-2008,soja
HmVyQHwly4-1,2006-2007,soja
HnNeUgv9Uw-1,2007-2008,girasol
HnNeUgv9Uw-2,2007-2008,girasol
HntaLlAWjn-1,2007-2008,soja
HntaLlAWjn-2,2007-2008,soja
HntaLlAWjn-3,2007-2008,soja
HntaLlAWjn-4,2007-2008,soja
HnyGiUAoZe-1,2010-2011,soja
HuikGao8SC-1,2008-2009,soja
HwDVuhPkMX-1,2007-2008,maiz
Hy4vlyoOBK-1,2008-2009,cebada
HzD5d1LOAn-1,2010-2011,maiz
I323lQQiT2-1,2006-2007,soja
I6OwvUlW1d-1,2011-2012,girasol
I8TgTZVou4-1,2007-2008,soja
IACF19BRYh-1,2007-2008,soja
IBU1itpz9i-1,2007-2008,girasol
IFGmFGFJCg-1,2007-2008,maiz
IIGeqsbsYa-1,2007-2008,soja
IIGeqsbsYa-2,2007-2008,soja
IKd3qTNSBX-1,2006-2007,soja
IKd3qTNSBX-2,2006-2007,soja
ILvBHjMqrn-1,2006-2007,soja
INvk6Kp0Wt-1,2006-2007,soja
IQWeU7kHE2-1,2008-2009,trigo
IaBb1Cip3Y-1,2007-2008,soja
IaPGrPSdjI-1,2006-2007,maiz
IaPGrPSdjI-2,2006-2007,maiz
IceNU7SJcg-1,2010-2011,maiz
IeifECJEGN-1,2010-2011,maiz
IfJBini9D5-1,2010-2011,soja
IkbkkGKgva-1,2006-2007,cebada
Ikyh8VjAfZ-1,2007-2008,soja
IlemyZXQqj-1,2010-2011,soja
IlvVtp2iEa-1,2007-2008,soja
ImcCnt2EMn-1,2007-2008,soja
ImcCnt2EMn-2,2007-2008,soja
InVH8koxTN-1,2009-2010,maiz
Ip2UM6GGQh-1,2006-2007,soja
Iv6xrYMg83-1,2005-2006,trigo
Iy93Tblw6P-1,2007-2008,soja
IyWfIGrToG-1,2007-2008,soja
J5rkYK8RFA-1,2006-2007,maiz
JHVxM3mZ3l-1,2007-2008,soja
JHVxM3mZ3l-2,2007-2008,soja
JIkrE1BIsL-1,2007-2008,soja
JIkrE1BIsL-2,2007-2008,soja
JJPnjiFF4u-1,2006-2007,trigo
JQFf6ayw9V-1,2009-2010,girasol
JVQbRjgbKb-1,2012-2013,soja
JaPklmmE9a-1,2006-2007,soja
Jar3VXQPMt-1,2009-2010,soja
JcFd7RVXUV-1,2007-2008,maiz
JcGDYRRAsV-1,2008-2009,cebada
JdtS3zeFR9-1,2009-2010,maiz
JeVY0ptgsQ-1,2010-2011,soja
Jf5WwN8tAh-1,2007-2008,soja
JfBGCpfSAf-1,2009-2010,girasol
JfH4DdhdMj-1,2009-2010,soja
JieGmPHSrS-1,2007-2008,soja
Jl7Xg1WvAE-1,2007-2008,soja
JmlGKOi8kf-1,2006-2007,soja
JnaelSqwNO-1,2007-2008,soja
Jnx93Ok8Bd-1,2006-2007,cebada
JptXJDnL8d-1,2010-2011,soja
JpyjnCRe0G-1,2007-2008,maiz
Jw5uJ9or15-1,2010-2011,maiz
JxYmP5xVUW-1,2006-2007,soja
Jz7D9j1fnS-1,2007-2008,soja
K75C6C1zKL-1,2010-2011,soja
K9io75stev-1,2009-2010,soja
KADxymXBRK-1,2010-2011,soja
KD6VfT3R7F-1,2008-2009,soja
KGPuoweTyw-1,2008-2009,soja
KKxLOc3kgy-1,2009-2010,soja
KKxLOc3kgy-2,2009-2010,soja
KKxLOc3kgy-3,2009-2010,soja
KMP8xmbDeh-1,2007-2008,maiz
KOlAfLYUQt-1,2010-2011,soja
KSrwnBZ8Sv-1,2010-2011,maiz
KUEyrh6J1i-1,2011-2012,girasol
KUEyrh6J1i-2,2011-2012,girasol
KUEyrh6J1i-3,2011-2012,girasol
KUEyrh6J1i-4,2011-2012,girasol
KUEyrh6J1i-5,2011-2012,girasol
KYU4mdnaaN-1,2006-2007,maiz
KZNq25Rc4O-1,2010-2011,girasol
KcKTtEs7Fj-1,2009-2010,soja
KdkXpLahAx-1,2006-2007,soja
KeNTXNDkaT-1,2007-2008,soja
KeNgJHfn2w-1,2010-2011,soja
KhExUspe8Q-1,2007-2008,soja
KhSTSNsu1B-1,2009-2010,soja
Kj7wNxYwZX-1,2007-2008,soja
Kkk2QyFjDV-1,2006-2007,maiz
KsbBFX8YOZ-1,2006-2007,soja
KtTlfMxboI-1,2011-2012,cebada
KyEO2lLIOC-1,2006-2007,soja
KztgxOZofn-1,2010-2011,soja
L2HYF5S5x5-1,2007-2008,soja
